RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31
394705,33,"Indianapolis, IN",Msa,IN,211567.0,215933.0,227633.0,251667.0,272633.0,284283.0,279283.0,269650.0,259633.0,249600.0,239900.0,233100.0,229800.0,234833.0,248300.0,266633.0,281600.0,286600.0,284900.0,279896.0,274929.0,269929.0,264633.0,257967.0,256300.0,261133.0,272800.0,282800.0,291600.0,302233.0,310763.0,315763.0,309797.0,299600.0,287633.0,279633.0,277667.0,280067.0,287773.0,295437.0,301703.0,302830.0,302133.0,302133.0,304800.0,307163.0,309130.0,312597.0,317932.0
395059,34,"San Jose, CA",Msa,CA,1071296.0,1104629.0,1154629.0,1208333.0,1245000.0,1261333.0,1244333.0,1199328.0,1149662.0,1115995.0,1082629.0,1048629.0,1015592.0,1031963.0,1065963.0,1113000.0,1139333.0,1156000.0,1142667.0,1116595.0,1099914.0,1099581.0,1096318.0,1071626.0,1071293.0,1107293.0,1165333.0,1192333.0,1192667.0,1209333.0,1239000.0,1256000.0,1255999.0,1248999.0,1248999.0,1232000.0,1216300.0,1216300.0,1236633.0,1253667.0,1270332.0,1283665.0,1296331.0,1280000.0,1271852.0,1258852.0,1241518.0,1215667.0,1230667.0
394355,35,"Austin, TX",Msa,TX,352140.0,353945.0,358199.0,362785.0,364170.0,364170.0,361135.0,355583.0,349658.0,345100.0,341685.0,337279.0,334689.0,336211.0,343197.0,352168.0,358245.0,355817.0,347613.0,338801.0,332723.0,329438.0,327584.0,324547.0,324809.0,328759.0,339077.0,346646.0,354576.0,364009.0,374960.0,384478.0,391163.0,396859.0,399683.0,399229.0,400576.0,411325.0,429323.0,453990.0,474827.0,491130.0,500133.0,504633.0,512667.0,519300.0,523903.0,523233.0,523266.0
395194,36,"Virginia Beach, VA",Msa,VA,258145.0,257823.0,260695.0,265208.0,270655.0,274233.0,276521.0,276554.0,276231.0,273972.0,272328.0,270555.0,271364.0,274459.0,279522.0,285130.0,288482.0,289995.0,289995.0,289995.0,289704.0,289414.0,289414.0,289704.0,289995.0,290024.0,293215.0,297276.0,303693.0,308915.0,314523.0,317747.0,317392.0,316391.0,313056.0,308300.0,302933.0,299930.0,302323.0,307356.0,310693.0,310000.0,306633.0,303300.0,301633.0,300000.0,300000.0,300000.0,300000.0
394902,37,"Nashville, TN",Msa,TN,373229.0,374563.0,376896.0,379600.0,379633.0,377966.0,374300.0,367933.0,362967.0,359800.0,358133.0,356433.0,354933.0,354933.0,356600.0,359933.0,364633.0,367967.0,367633.0,364600.0,361267.0,359600.0,357933.0,355963.0,352963.0,352996.0,354966.0,358266.0,362933.0,367967.0,374633.0,378267.0,381599.0,381633.0,381276.0,379577.0,381243.0,389297.0,399327.0,412093.0,424397.0,437733.0,448300.0,451633.0,451633.0,454967.0,460633.0,464463.0,462463.0
395005,38,"Providence, RI",Msa,RI,345871.0,347654.0,353071.0,359924.0,365168.0,366883.0,367057.0,367057.0,367057.0,365274.0,361429.0,356219.0,354471.0,357968.0,366358.0,376532.0,383839.0,387650.0,387964.0,387964.0,387650.0,385936.0,382440.0,375763.0,370519.0,373700.0,384188.0,394642.0,401949.0,408941.0,419464.0,424743.0,421282.0,410759.0,400271.0,396425.0,396607.0,407170.0,408000.0,413333.0,413000.0,427667.0,437667.0,442967.0,438300.0,436600.0,433267.0,431600.0,434933.0
394862,39,"Milwaukee, WI",Msa,WI,216267.0,217933.0,226267.0,238100.0,249467.0,256133.0,257933.0,254900.0,248267.0,242867.0,236200.0,232533.0,231267.0,234300.0,237933.0,237967.0,237467.0,237500.0,239133.0,239933.0,236567.0,231600.0,226600.0,221633.0,219933.0,221600.0,231567.0,241567.0,251567.0,256600.0,259933.0,256600.0,249933.0,242467.0,235833.0,230800.0,224933.0,223233.0,224900.0,229900.0,236567.0,236567.0,229933.0,218300.0,211667.0,208000.0,204633.0,199633.0,197967.0
394714,40,"Jacksonville, FL",Msa,FL,300963.0,304930.0,309963.0,314633.0,316528.0,316495.0,313162.0,307966.0,302666.0,298000.0,296167.0,296000.0,296000.0,297500.0,299667.0,304667.0,311667.0,314128.0,310983.0,304313.0,299852.0,299630.0,299300.0,298630.0,298647.0,301977.0,306313.0,307327.0,309330.0,312330.0,317967.0,319300.0,317967.0,315330.0,310663.0,308830.0,308483.0,312480.0,319280.0,330630.0,343630.0,351663.0,354993.0,356297.0,360797.0,365467.0,368800.0,371297.0,374930.0
394849,41,"Memphis, TN",Msa,TN,186823.0,182331.0,181218.0,184112.0,187300.0,194902.0,199991.0,205715.0,207337.0,208896.0,209087.0,206224.0,203076.0,200976.0,203839.0,208610.0,215957.0,221045.0,224226.0,224194.0,223814.0,223783.0,223814.0,224194.0,222636.0,222604.0,225784.0,230555.0,236153.0,241560.0,247921.0,251547.0,247727.0,244514.0,243242.0,243245.0,242174.0,239179.0,242167.0,245833.0,254167.0,258300.0,260967.0,261267.0,262967.0,266633.0,268300.0,266466.0,259467.0
394935,42,"Oklahoma City, OK",Msa,OK,235391.0,237444.0,242231.0,247398.0,251847.0,252535.0,252535.0,249763.0,248050.0,246305.0,246340.0,246307.0,248480.0,253202.0,261757.0,270395.0,276961.0,278364.0,276142.0,271655.0,268541.0,266830.0,266873.0,266873.0,268583.0,272519.0,277857.0,281279.0,285898.0,292913.0,298693.0,300061.0,296297.0,294569.0,293201.0,292927.0,292592.0,296035.0,303523.0,314038.0,321405.0,323333.0,320633.0,315800.0,312415.0,309782.0,311045.0,315029.0,324642.0
